serial,title,category,region,system,mapping_files
SLUS-01290,"F1 Championship Season 2000 (USA) (En,Fr,Es)",Games,NTSC-U,PSX,
SLUS-00621,Sesame Street - Elmo's Letter Adventure (USA),Games,NTSC-U,PSX,
SLUS-00621TP,Sesame Street - Elmo's Letter Adventure (USA),Games,NTSC-U,PSX,
SLUS-01386,Mary-Kate and Ashley - Crush Course (USA),Games,NTSC-U,PSX,
SLES-03650,"Gundam Battle Assault (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-01104,Vs. (Europe),Games,PAL,PSX,
SLES-02499,"Midnight in Vegas (Europe) (En,Fr,De)",Games,PAL,PSX,
SLES-01008,Caesars Palace (Europe),Games,PAL,PSX,
SLES-10463#2,Heart of Darkness (Germany) (Disc 2) (EDC),Games,PAL,PSX,
SLES-02582,Crusaders of Might and Magic (Europe),Games,PAL,PSX,
SLES-00105,Wing Commander III - Heart of the Tiger (Germany) (Disc 1),Games,PAL,PSX,
SLES-10105,Wing Commander III - Heart of the Tiger (Germany) (Disc 2),Games,PAL,PSX,
SLES-20105,Wing Commander III - Heart of the Tiger (Germany) (Disc 3),Games,PAL,PSX,
SLES-30105,Wing Commander III - Heart of the Tiger (Germany) (Disc 4),Games,PAL,PSX,
SLUS-01128,"Wild Thornberrys, The - Animal Adventures (USA)",Games,NTSC-U,PSX,
SLUS-00845,Thousand Arms (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00858,Thousand Arms (USA) (Disc 2),Games,NTSC-U,PSX,
SCUS-94457,Grandia (USA) (Disc 1),Games,NTSC-U,PSX,
SCUS-94465,Grandia (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00141,X-COM - UFO Defense (USA),Games,NTSC-U,PSX,
SLUS-00481,Point Blank (USA),Games,NTSC-U,PSX,
SLUS-00796,Point Blank 2 (USA),Games,NTSC-U,PSX,
SLUS-01448,"Worms World Party (USA) (En,Fr,De,Es,It,Nl,Sv,Da)",Games,NTSC-U,PSX,
SLUS-00172,In the Hunt (USA),Games,NTSC-U,PSX,
SLUS-00653,Pocket Fighter (USA),Games,NTSC-U,PSX,
SLUS-01309,Boxing (USA),Games,NTSC-U,PSX,
SLUS-00880,Nickelodeon Rugrats - Studio Tour (USA),Games,NTSC-U,PSX,
SLUS-00778,Hello Kitty - Cube Frenzy (USA),Games,NTSC-U,PSX,
SLUS-00243,Space Jam (USA),Games,NTSC-U,PSX,
SLUS-00435,Ninja - Shadow of Darkness (USA),Games,NTSC-U,PSX,
SLUS-00719,Lucky Luke (USA),Games,NTSC-U,PSX,
SLUS-00063,World Cup Golf - Professional Edition (USA),Games,NTSC-U,PSX,
SLUS-00034,Virtual Pool (USA),Games,NTSC-U,PSX,
SLES-02330,Galerians (Germany) (Disc 1),Games,PAL,PSX,
SLES-12330,Galerians (Germany) (Disc 2),Games,PAL,PSX,
SLES-22330,Galerians (Germany) (Disc 3),Games,PAL,PSX,
SLUS-00013,WWF WrestleMania - The Arcade Game (USA),Games,NTSC-U,PSX,
SCUS-94194,Gran Turismo (USA),Games,NTSC-U,PSX,
SLUS-00526,March Madness '98 (USA),Games,NTSC-U,PSX,
SLUS-01379,Card Games (USA),Games,NTSC-U,PSX,
SLUS-00993,Knockout Kings 2000 (USA),Games,NTSC-U,PSX,
SLPS 01248,Ultraman - Fighting Evolution (Japan),Games,NTSC-J,PSX,
SLPS 91145,Ultraman - Fighting Evolution (Japan),Games,NTSC-J,PSX,
SLPM 80048,Square's Preview Extra - FF VII Sample & SIGGRAPH '95 Works (Japan),Demos,NTSC-J,PSX,
SLUS-01274,WCW Backstage Assault (USA),Games,NTSC-U,PSX,
SLUS-00813,T.R.A.G. - Mission of Mercy (USA),Games,NTSC-U,PSX,
SLUS-00292,Suikoden (USA) (Rev 1),Games,NTSC-U,PSX,
SLUS-01166,NASCAR Heat (USA),Games,NTSC-U,PSX,
SLUS-00864,Ultimate 8 Ball (USA),Games,NTSC-U,PSX,
SLUS-01353,Nickelodeon Rocket Power - Team Rocket Rescue (USA),Games,NTSC-U,PSX,
SLUS-01353GH,Nickelodeon Rocket Power - Team Rocket Rescue (USA),Games,NTSC-U,PSX,
SLUS-01287,Snowboarding (USA),Games,NTSC-U,PSX,
SLUS-01033,Polaris SnoCross (USA),Games,NTSC-U,PSX,
SLES-00407,Black Dawn (Europe),Games,PAL,PSX,
SLES-02336,NBA Showtime - NBA on NBC (Europe),Games,PAL,PSX,
SLES-00654,Star Wars - Rebel Assault II - The Hidden Empire (Europe) (Disc 1),Games,PAL,PSX,
SLES-10654,Star Wars - Rebel Assault II - The Hidden Empire (Europe) (Disc 2),Games,PAL,PSX,
SLPS 03164,From TV Animation One Piece - Grand Battle! (Japan),Games,NTSC-J,PSX,
SLPS 01802,America Oudan Ultra Quiz (Japan) (Fukkokuban),Games,NTSC-J,PSX,
SLPS 91484,America Oudan Ultra Quiz (Japan) (Fukkokuban),Games,NTSC-J,PSX,
SLES-02358,NBA Live 2000 (Europe),Games,PAL,PSX,
SLES-02682,Land Maker (Europe),Games,PAL,PSX,
SCES-01556,"X Games Pro Boarder (Europe) (En,Fr,De,Es,It,Sv,No)",Games,PAL,PSX,
SLES-01503,Oddworld - Abe's Exoddus (Germany) (Disc 1),Games,PAL,PSX,
PBPX-95010,Interactive CD Sampler Disc Vol. 9 (USA),Demos,NTSC-U,PSX,
SLPS 01233,Bust A Move (Japan) (Disc 2) (Premium CD-ROM) (Genteiban),Bonus Discs,NTSC-J,PSX,
SCED-01837,Euro Demo 06-99 (Germany),Demos,PAL,PSX,
SCED-02050,Euro Demo 06-99 'Special' (Germany),Demos,PAL,PSX,
SLES-02681,"Ronaldo V-Football (Europe) (De,Es,It,Pt)",Games,PAL,PSX,
SLES-01691,"Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It)",Games,PAL,PSX,
SLUS-01188,Woody Woodpecker Racing (USA),Games,NTSC-U,PSX,
SLES-02738,"HBO Boxing (Europe) (En,De)",Games,PAL,PSX,
SLES-00598,"Jersey Devil (Europe) (En,Fr,De)",Games,PAL,PSX,
SLPM 86581,SuperLite 1500 Series - The Tetris (Japan),Games,NTSC-J,PSX,
PAPX 90026,Gran Turismo (Japan) (Demo 3),Demos,NTSC-J,PSX,
SLES-00233,Cyberia (Europe),Games,PAL,PSX,
SCUS-94258,Interactive CD Sampler Disc Volume 7 (USA),Demos,NTSC-U,PSX,
SLES-03784,100% Star (Europe),Games,PAL,PSX,
SLES-03836,"Hugo - The Evil Mirror (Europe) (En,Da,Pl)",Games,PAL,PSX,
SLES-04064,5 Star Racing (Europe),Games,PAL,PSX,
SLES-02916,King of Bowling 2 (Europe),Games,PAL,PSX,
SLES-00483,"Worms Pinball (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00483#,"Worms Pinball (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-02954,"Moses - Prince of Egypt (Europe) (En,Fr,De,Nl)",Games,PAL,PSX,
SLES-01593,"Hugo (Scandinavia) (Sv,No)",Games,PAL,PSX,
SLES-01805,Hugo 2 (Europe),Games,PAL,PSX,
SLUS-00542,Rascal (USA),Games,NTSC-U,PSX,
SLUS-01563,Robo Pit 2 (USA),Games,NTSC-U,PSX,
SLUS-01265,Rayman Brain Games (USA),Games,NTSC-U,PSX,
SLUS-00750,Rosco McQueen Firefighter Extreme (USA),Games,NTSC-U,PSX,
SLUS-01046,Star Wars - Episode I - Jedi Power Battles (USA),Games,NTSC-U,PSX,
SLUS-01539,Patriotic Pinball (USA),Games,NTSC-U,PSX,
SLUS-01494,Pinobee (USA),Games,NTSC-U,PSX,
SLUS-01389,Pajama Sam - You Are What You Eat from Your Head to Your Feet (USA),Games,NTSC-U,PSX,
SLUS-01150,Grudge Warriors (USA),Games,NTSC-U,PSX,
SLUS-01398,Gunfighter - The Legend of Jesse James (USA),Games,NTSC-U,PSX,
SLUS-00319,Golden Nugget (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00555,Golden Nugget (USA) (Disc 2),Games,NTSC-U,PSX,
SLES-02911,Nickelodeon Rugrats - Excursion al estudio (Spain),Games,PAL,PSX,
SLES-01300,"Unholy War, The (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLUS-00959,Play with the Teletubbies (USA),Games,NTSC-U,PSX,
SLUS-00199,VR Soccer '96 (USA),Games,NTSC-U,PSX,
SLUS-00967,Tiny Toon Adventures - Toonenstein - Dare to Scare! (USA),Games,NTSC-U,PSX,
SLUS-00097,PO'ed (USA),Games,NTSC-U,PSX,
SLES-03057,"Sports Superbike (Europe) (En,Fr,De,It)",Games,PAL,PSX,
SLES-01299,"Gex - Deep Cover Gecko (Europe) (En,Es,It)",Games,PAL,PSX,
SLES-00651,BallBlazer Champions (Europe),Games,PAL,PSX,
SLES-00811,Xenocracy - The Ultimate Solar War (Europe),Games,PAL,PSX,
SLUS-01445,Power Play - Sports Trivia (USA),Games,NTSC-U,PSX,
SLUS-01228,V.I.P. (USA),Games,NTSC-U,PSX,
SCES-00798,Broken Sword II - The Smoking Mirror (Europe),Games,PAL,PSX,
SLPS 00332,Alien Trilogy (Japan),Games,NTSC-J,PSX,
SLES-02740,Dave Mirra Freestyle BMX (Europe),Games,PAL,PSX,
SLPS 00910,Monster Farm (Japan),Games,NTSC-J,PSX,
SLPS 91109,Monster Farm (Japan),Games,NTSC-J,PSX,
SLPS 01695,Waku Waku Volley (Japan),Games,NTSC-J,PSX,
SLPS 02346,Waku Waku Volley (Japan),Games,NTSC-J,PSX,
SLPS 03252,From TV Animation One Piece - Tobidase Kaizokudan! (Japan),Games,NTSC-J,PSX,
SLPS 01685,Simple 1500 Series Vol. 7 - The Card (Japan) (Culture Publishers),Games,NTSC-J,PSX,
SLPS 02179,Simple 1500 Series Vol. 12 - The Quiz (Japan) (Culture Publishers),Games,NTSC-J,PSX,
SLPS 02473,Simple 1500 Series Vol. 23 - The Gateball (Japan),Games,NTSC-J,PSX,
SLPS 02475,Simple 1500 Series Vol. 25 - The Keiba (Japan),Games,NTSC-J,PSX,
SLPS 02923,Simple 1500 Series Vol. 36 - The Ren'ai Simulation - Natsuiro Celebration (Japan),Games,NTSC-J,PSX,
SLPS 00023,CyberSled (Japan),Games,NTSC-J,PSX,
SLPS 00071,3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 00072,3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 00093,Oh-chan no Oekaki Logic (Japan),Games,NTSC-J,PSX,
SLPS 01568,Oh-chan no Oekaki Logic (Japan),Games,NTSC-J,PSX,
SLPS 03116,Oh-chan no Oekaki Logic (Japan),Games,NTSC-J,PSX,
SCES-03023,Walt Disneyn Viidakkokirja - Svengiseikkailu (Finland),Games,PAL,PSX,
SLPS 00113,Sotsugyou II - Neo Generation (Japan),Games,NTSC-J,PSX,
SLPS 00123,TIZ - Tokyo Insect Zoo (Japan),Games,NTSC-J,PSX,
SLPS 00143,Reverthion (Japan),Games,NTSC-J,PSX,
SLPS 00194,Wizard's Harmony (Japan),Games,NTSC-J,PSX,
SLPS 00200,Battle Arena Toushinden 2 (Japan),Games,NTSC-J,PSX,
SCES-03762,Disney-Pixar Monsterit Oy - Saeikkysaari (Finland),Games,PAL,PSX,
SLPS 00261,Sotsugyou R - Graduation Real (Japan),Games,NTSC-J,PSX,
SLPS 00282,MeltyLancer - Ginga Shoujo Keisatsu 2086 (Japan),Games,NTSC-J,PSX,
SLPS 00296,Killing Zone (Japan),Games,NTSC-J,PSX,
SLUS-00017,Theme Park (USA),Games,NTSC-U,PSX,
SLPS 00461,3D Mission Shooting - Finalist (Japan),Games,NTSC-J,PSX,
SLPS 00468,Stakes Winner - G1 Kanzen Seiha e no Michi (Japan),Games,NTSC-J,PSX,
SLPS 00484,"Soreike no Kokology - Kokoro ga Oshieru Koi, Kekkon, Jinsei (Japan)",Games,NTSC-J,PSX,
SLPS 00617,Tomb Raiders (Japan),Games,NTSC-J,PSX,
SLPS 91049,Tomb Raiders (Japan),Games,NTSC-J,PSX,
SLPS 91433,Tomb Raiders (Japan),Games,NTSC-J,PSX,
SLPM 87235,Croket! Kindan no Kinka Box! (Japan),Games,NTSC-J,PSX,
SLPM 87341,Croket! Kindan no Kinka Box! (Japan),Games,NTSC-J,PSX,
SLPS 01232,Bust A Move (Japan) (Disc 1) (Genteiban),Games,NTSC-J,PSX,
SLPS 91082,Winning Post 2 - Program '96 (Japan) (Rev 1),Games,NTSC-J,PSX,
SLPS 00533,Aubirdforce (Japan) (Shokai Genteiban),Games,NTSC-J,PSX,
SLPS 00539,Star Gladiator - Episode I - Final Crusade (Japan),Games,NTSC-J,PSX,
SLPS 00584,Eternal Melody (Japan),Games,NTSC-J,PSX,
SLPS 00589,Jewel Bem Hunter Lime with Paint Maker (Japan),Games,NTSC-J,PSX,
SCPS 45190,"Dead or Alive (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01289,"Dead or Alive (Japan, Asia)",Games,NTSC-J,PSX,
SLUS-00643,Rogue Trip - Vacation 2012 (USA),Games,NTSC-U,PSX,
SLPS 00640,"Real Bout Garou Densetsu (Japan) (En,Ja)",Games,NTSC-J,PSX,
SLPS 00650,Battle Arena Toushinden 3 (Japan),Games,NTSC-J,PSX,
SLPS 00659,Grid Runner (Japan),Games,NTSC-J,PSX,
SLPS 00677,F-1 Grand Prix 1996 - Team Un'ei Simulation (Japan),Games,NTSC-J,PSX,
SLPS 00684,Koukai Sarenakatta Shuki (Japan),Games,NTSC-J,PSX,
SLPS 00694,Transport Tycoon 3D - SL Kara Hajimeyou!! (Japan),Games,NTSC-J,PSX,
SLPS 00596,Wares 1092 - Souheiden (Japan),Games,NTSC-J,PSX,
SLPS 00740,Wares 1092 - Souheiden (Japan),Games,NTSC-J,PSX,
SLPS 00757,Bounty Sword First (Japan),Games,NTSC-J,PSX,
SLPS 00762,Formation Soccer '97 - The Road to France (Japan),Games,NTSC-J,PSX,
SLPS 00781,Fantastep (Japan),Games,NTSC-J,PSX,
SCPS 45034,"SD Gundam - GCentury (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 00785,"SD Gundam - GCentury (Japan, Asia)",Games,NTSC-J,PSX,
SLPM 86204,Teitoku no Ketsudan III (Japan),Games,NTSC-J,PSX,
SLPS 00788,Teitoku no Ketsudan III (Japan),Games,NTSC-J,PSX,
SLPS 00373,Masters - Shin Harukanaru Augusta (Japan),Games,NTSC-J,PSX,
SLPS 00842,Masters - Shin Harukanaru Augusta (Japan),Games,NTSC-J,PSX,
SLPS 00881,Shuukan Pro Wres Kanshuu - Pro Wres Sengokuden (Japan),Games,NTSC-J,PSX,
SLPS 00883,Gundam the Battle Master (Japan),Games,NTSC-J,PSX,
SCUS-94181,I.Q - Intelligent Qube (USA),Games,NTSC-U,PSX,
SLPS 00913,Nessa no Hoshi (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 00914,Nessa no Hoshi (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 00916,Master of Monsters - Akatsuki no Kenja-tachi (Japan),Games,NTSC-J,PSX,
SLPS 00954,"Sidewinder 2 - Let's Dance in the Sky (Japan) (En,Ja)",Games,NTSC-J,PSX,
SLPS 91132,"Sidewinder 2 - Let's Dance in the Sky (Japan) (En,Ja)",Games,NTSC-J,PSX,
SCPS 45135,"Wizard's Harmony 2 (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 00984,"Wizard's Harmony 2 (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 00996,My Dream - On Air ga Matenakute (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 00997,My Dream - On Air ga Matenakute (Japan) (Disc 2),Games,NTSC-J,PSX,
SCES-02099,Shadow Madness (Europe) (Disc 1),Games,PAL,PSX,
SCES-12099,Shadow Madness (Europe) (Disc 2),Games,PAL,PSX,
SLES-00049,"Rayman (Europe) (En,Fr,De) (EDC)",Games,PAL,PSX,
SLES-00049-T,"Rayman (Europe) (En,Fr,De) (EDC)",Games,PAL,PSX,
SLES-00848,"Devil's Deception (Europe) (En,Fr,De)",Games,PAL,PSX,
SLUS-00006,Tekken (USA),Games,NTSC-U,PSX,
SLES-00461,Heart of Darkness (Europe) (Disc 1),Games,PAL,PSX,
SLES-00461#,Heart of Darkness (Europe) (Disc 1),Games,PAL,PSX,
SLES-00461#2,Heart of Darkness (Europe) (Disc 1),Games,PAL,PSX,
SLES-01219,"Azure Dreams (Europe) (En,Fr,De)",Games,PAL,PSX,
SCES-03000,Disney's Aladdin in Nasira's Revenge (Europe),Games,PAL,PSX,
SCES-03000/P,Disney's Aladdin in Nasira's Revenge (Europe),Games,PAL,PSX,
SLPM 86298,SuperLite 1500 Series - Card II (Japan),Games,NTSC-J,PSX,
SLPM 86319,SuperLite 1500 Series - Hanafuda II (Japan),Games,NTSC-J,PSX,
SLPS 02068,SuperLite 1500 Series - Oekaki Puzzle (Japan),Games,NTSC-J,PSX,
SLPS 02066,SuperLite 1500 Series - Suudoku (Japan),Games,NTSC-J,PSX,
SLPS 00386,Macross Digital Mission VF-X (Japan),Games,NTSC-J,PSX,
SLPS 91058,Macross Digital Mission VF-X (Japan) (Rev 1),Games,NTSC-J,PSX,
SLPS 02237,Macross VF-X2 (Japan),Games,NTSC-J,PSX,
SCES-03941/P,Disney El Planeta del Tesoro (Spain),Games,PAL,PSX,
SLES-00132#,Doom (Europe) (EDC),Games,PAL,PSX,
SLES-00535,Disruptor (Europe),Games,PAL,PSX,
SCPS 45136,"Project Gaiaray (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01013,"Project Gaiaray (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01023,Pachi-Slot Kanzen Kouryaku - Cranky Pro (Japan),Games,NTSC-J,PSX,
SLPS 01041,Soukuu no Tsubasa - Gotha World (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 01042,Soukuu no Tsubasa - Gotha World (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 01092,Photo Genic (Japan) (Genteiban),Games,NTSC-J,PSX,
SLPS 00394,Spot Goes to Hollywood (Japan),Games,NTSC-J,PSX,
SLPM 86734,Tenkuu no Restaurant - Hello! Project Ver. (Japan),Games,NTSC-J,PSX,
SLPM 86837,One Piece Mansion (Japan),Games,NTSC-J,PSX,
SLPS 01526,Azito 2 (Japan),Games,NTSC-J,PSX,
SLPM 86749,Biohazard - Gun Survivor (Japan),Games,NTSC-J,PSX,
SLPS 02553,Biohazard - Gun Survivor (Japan),Games,NTSC-J,PSX,
SLPS 01479,Bounty Sword - Double Edge (Japan),Games,NTSC-J,PSX,
SLES-00204,"Vandal Hearts (Europe) (En,Fr,De)",Games,PAL,PSX,
SCPS 45387,"Final Fantasy VI (Japan, Asia)",Games,NTSC-J,PSX,
SLPM 86198,"Final Fantasy VI (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01950,"Final Fantasy VI (Japan, Asia)",Games,NTSC-J,PSX,
SLPM 86028,Final Fantasy IV (Japan),Games,NTSC-J,PSX,
SLPS 01948,Final Fantasy IV (Japan),Games,NTSC-J,PSX,
SCPS 45214,"Final Fantasy V (Japan, Asia)",Games,NTSC-J,PSX,
SLPM 86081,"Final Fantasy V (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01949,"Final Fantasy V (Japan, Asia)",Games,NTSC-J,PSX,
SLES-02866,X-Men - Mutant Academy (Germany),Games,PAL,PSX,
SCUS-94201,Mortal Kombat 3 (USA),Games,NTSC-U,PSX,
SLPS 03437,Bakuretsu Soccer (Japan),Games,NTSC-J,PSX,
SLPS 01664,Meremanoid (Japan),Games,NTSC-J,PSX,
SLUS-00847,Hydro Thunder (USA),Games,NTSC-U,PSX,
SLES-00909,"Auto Destruct (Europe) (En,Fr,De,Es,Sv)",Games,PAL,PSX,
SLES-00282,Magic - The Gathering - BattleMage (Europe),Games,PAL,PSX,
SLPS 01115,Nobunaga no Yabou - Shouseiroku (Japan),Games,NTSC-J,PSX,
SLPS 01135,DamDam Stompland (Japan),Games,NTSC-J,PSX,
SLPS 01142,Mobile Suit Z-Gundam (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 01143,Mobile Suit Z-Gundam (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 01147,MeltyLancer - Re-inforce (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 01148,MeltyLancer - Re-inforce (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 01187,Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 01188,Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 01189,Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 3),Games,NTSC-J,PSX,
SLPS 01258,Yuukyuu Gensoukyoku 2nd Album (Japan),Games,NTSC-J,PSX,
SLPS 02326,Yuukyuu Gensoukyoku 2nd Album (Japan),Games,NTSC-J,PSX,
SLPS 01310,Straight Victory - Hoshino Kazuyoshi e no Chousen (Japan),Games,NTSC-J,PSX,
SLPS 01335,World Stadium 2 (Japan),Games,NTSC-J,PSX,
SLPS 01409,Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan),Games,NTSC-J,PSX,
SLPS 01414,Dynamite Soccer 98 (Japan),Games,NTSC-J,PSX,
SLPS 01453,Parlor! Pro 3 (Japan),Games,NTSC-J,PSX,
SLPS 01470,Godzilla - Trading Battle (Japan),Games,NTSC-J,PSX,
SLPS 01600,Pilot ni Narou! (Japan),Games,NTSC-J,PSX,
SLPS 91165,Pilot ni Narou! (Japan),Games,NTSC-J,PSX,
SLPS 91498,Pilot ni Narou! (Japan),Games,NTSC-J,PSX,
SLPS 01605,Pro Mahjong Kiwame Plus II (Japan),Games,NTSC-J,PSX,
SLPS 01606,Aubirdforce - After (Japan),Games,NTSC-J,PSX,
SLPS 01622,Street Boarders (Japan),Games,NTSC-J,PSX,
SLPS 01646,Parlor! Pro 4 (Japan),Games,NTSC-J,PSX,
SLPS 91185,Parlor! Pro 4 (Japan),Games,NTSC-J,PSX,
SLPS 01666,Zeus - Carnage Heart Second (Japan),Games,NTSC-J,PSX,
SLPS 00658,Nihon Pro Golf Kyoukai Kanshuu - Double Eagle (Japan),Games,NTSC-J,PSX,
SLPS 01667,Nihon Pro Golf Kyoukai Kanshuu - Double Eagle (Japan),Games,NTSC-J,PSX,
SLPS 02796,Nihon Pro Golf Kyoukai Kanshuu - Double Eagle (Japan),Games,NTSC-J,PSX,
SLPS 01817,Deep Freeze (Japan),Games,NTSC-J,PSX,
SLPS 01828,Parlor! Pro 5 (Japan),Games,NTSC-J,PSX,
SLPS 01857,Option - Tuning Car Battle 2 (Japan),Games,NTSC-J,PSX,
SLPS 01860,Tricky Sliders - Freestyle Snowboard (Japan),Games,NTSC-J,PSX,
SLPM 84020,Final Fantasy VII International (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPM 87380,Final Fantasy VII International (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 01057,Final Fantasy VII International (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 91440,Final Fantasy VII International (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPM 84021,Final Fantasy VII International (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPM 87381,Final Fantasy VII International (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 01058,Final Fantasy VII International (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 91441,Final Fantasy VII International (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPM 84022,Final Fantasy VII International (Japan) (Disc 3),Games,NTSC-J,PSX,
SLPM 87382,Final Fantasy VII International (Japan) (Disc 3),Games,NTSC-J,PSX,
SLPS 01059,Final Fantasy VII International (Japan) (Disc 3),Games,NTSC-J,PSX,
SLPS 91442,Final Fantasy VII International (Japan) (Disc 3),Games,NTSC-J,PSX,
SLPM 84023,Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),Bonus Discs,NTSC-J,PSX,
SLPM 87383,Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),Bonus Discs,NTSC-J,PSX,
SLPS 01060,Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),Bonus Discs,NTSC-J,PSX,
SLPS 91443,Final Fantasy VII International (Japan) (Disc 4) (Perfect Guide),Bonus Discs,NTSC-J,PSX,
SLUS-00066,3D Baseball (USA),Games,NTSC-U,PSX,
SLPM 87331,Front Mission 2 (Japan) (Front Mission History),Games,NTSC-J,PSX,
SLPM 87397,Front Mission 2 (Japan) (Front Mission History),Games,NTSC-J,PSX,
SLES-04110,Robin Hood - The Siege (Europe),Games,PAL,PSX,
SLPM 87374,Chrono Trigger (Japan),Games,NTSC-J,PSX,
SLPS 02430,Chrono Trigger (Japan),Games,NTSC-J,PSX,
SLPS 91446,Chrono Trigger (Japan),Games,NTSC-J,PSX,
SCPS 45436,"DewPrism (Japan, Asia)",Games,NTSC-J,PSX,
SLPM 87402,"DewPrism (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 02330,"DewPrism (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 91455,"DewPrism (Japan, Asia)",Games,NTSC-J,PSX,
SCES-03943,Disneys Skattkammarplaneten (Sweden),Games,PAL,PSX,
SLPS 00832,Iwatobi Penguin Rocky x Hopper (Japan),Games,NTSC-J,PSX,
SLPS 91115,Iwatobi Penguin Rocky x Hopper (Japan),Games,NTSC-J,PSX,
SLPS 01283,Iwatobi Penguin Rocky x Hopper 2 - Tantei Monogatari (Japan),Games,NTSC-J,PSX,
SLPS 02213,My Garden (Japan),Games,NTSC-J,PSX,
SLES-00707,"Risk (Europe) (En,Fr,De,Es)",Games,PAL,PSX,
SCPS 91312,PoPoRoGue (Japan) (Rev 1),Games,NTSC-J,PSX,
SLPS 00530,Puyo Puyo Tsuu - Ketteiban (Japan) (Rev 1),Games,NTSC-J,PSX,
SLPS 91194,Puyo Puyo Tsuu - Ketteiban (Japan) (Rev 1),Games,NTSC-J,PSX,
SCPS 18007,Tomoyasu Hotei - Stolen Song (Japan) (Disc 1) (VPick Included),Games,NTSC-J,PSX,
SCPS 18008,Tomoyasu Hotei - Stolen Song (Japan) (Disc 2) (VPick Included),Games,NTSC-J,PSX,
SLUS-00005,Rayman (USA),Games,NTSC-U,PSX,
SLPM 87098,"Game of Life, The - DX Jinsei Game III (Japan)",Games,NTSC-J,PSX,
SLPS 02469,"Game of Life, The - DX Jinsei Game III (Japan)",Games,NTSC-J,PSX,
SLPS 02596,Gale Gunner (Japan),Games,NTSC-J,PSX,
SLPS 03305,Gale Gunner (Japan),Games,NTSC-J,PSX,
SLPS 01478,Dome no Yabou 2 - The Race of Champions (Japan),Games,NTSC-J,PSX,
SLPS 02753,Dome no Yabou 2 - The Race of Champions (Japan),Games,NTSC-J,PSX,
SLPS 02810,Shiki Oriori no Bass Tsuri (Japan),Games,NTSC-J,PSX,
SLPS 02871,Max Surfing 2nd (Japan),Games,NTSC-J,PSX,
SLPS 03038,Yamasa Digi Guide - M771 (Japan),Games,NTSC-J,PSX,
SLPS 03100,Gunbalina (Japan),Games,NTSC-J,PSX,
SLPS 03188,Time Crisis - Project Titan (Japan),Games,NTSC-J,PSX,
SLPS 03232,Mobile Suit Z-Gundam (Japan) (Disc 1) (Bandai the Best),Games,NTSC-J,PSX,
SLPS 03233,Mobile Suit Z-Gundam (Japan) (Disc 2) (Bandai the Best),Games,NTSC-J,PSX,
